Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
1999-03-10 00:00:00-05:00,43.33581086325675,43.362299745202506,42.62061105072134,43.282833099365234,5232000,0.0,0.0,0.0
1999-03-11 00:00:00-05:00,43.600702696973315,43.85234709285499,42.64710288100063,43.494747161865234,9688600,0.0,0.0,0.0
1999-03-12 00:00:00-05:00,43.335821954200924,43.362310842925986,42.09084418412303,42.43519973754883,8743600,0.0,0.0,0.0
1999-03-15 00:00:00-05:00,42.75304567003713,43.70664520171082,42.30273478008011,43.65366744995117,6369000,0.0,0.0,0.0
1999-03-16 00:00:00-05:00,43.839113898799454,44.209958366825546,43.362313868480186,44.0245361328125,4905800,0.0,0.0,0.0
1999-03-17 00:00:00-05:00,44.02452400901101,44.07750177556818,43.57421299327503,43.70665740966797,3965000,0.0,0.0,0.0
1999-03-18 00:00:00-05:00,43.653676435581716,44.580787282211176,43.64043199491558,44.554298400878906,4848400,0.0,0.0,0.0
1999-03-19 00:00:00-05:00,45.13706472139667,45.13706472139667,43.38879813007497,43.415287017822266,7160400,0.0,0.0,0.0
1999-03-22 00:00:00-05:00,43.600701707318066,43.70665724002115,42.806035212044954,42.885501861572266,5024800,0.0,0.0,0.0
1999-03-23 00:00:00-05:00,42.64709563017197,42.80602890581236,41.29616278722863,41.37562942504883,10962400,0.0,0.0,0.0
1999-03-24 00:00:00-05:00,41.74647842265504,42.80603371257014,41.11074524870598,42.779544830322266,8447000,0.0,0.0,0.0
1999-03-25 00:00:00-05:00,43.44176617147247,44.34238815307617,43.157010691994834,44.34238815307617,8133800,0.0,0.0,0.0
1999-03-26 00:00:00-05:00,43.97155231899685,44.47484117084079,43.680174562666146,43.865596771240234,8256200,0.0,0.0,0.0
1999-03-29 00:00:00-05:00,44.395373889060565,45.48141823837529,44.13048502337405,45.45492935180664,5113800,0.0,0.0,0.0
1999-03-30 00:00:00-05:00,45.401947097599226,45.77279147295885,44.951636070376836,45.13705825805664,4940600,0.0,0.0,0.0
1999-03-31 00:00:00-05:00,45.8787649130807,45.931742701663936,44.342409044166914,44.474853515625,8256600,0.0,0.0,0.0
1999-04-01 00:00:00-05:00,45.77279139622228,45.825769164041986,44.66025827200855,45.401947021484375,8715800,0.0,0.0,0.0
1999-04-05 00:00:00-04:00,46.137010096966684,47.110476507796896,45.85225461624764,47.044254302978516,5697200,0.0,0.0,0.0
1999-04-06 00:00:00-04:00,46.991277850655635,47.653499917322144,46.593944610655726,47.136966705322266,7522400,0.0,0.0,0.0
